datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-08 00:00:00,Aspect,Square,Mars,Sagittarius,"0°04'06.97""",Mula,Ketu,1,Saturn,Pisces,"1°01'08.68""",Purva Bhadrapada,Jupiter,4,90,90.9505,0.9505
2025-12-08 00:15:00,Aspect,Square,Mars,Sagittarius,"0°04'35.00""",Mula,Ketu,1,Saturn,Pisces,"1°01'09.32""",Purva Bhadrapada,Jupiter,4,90,90.9429,0.9429
2025-12-08 00:30:00,Aspect,Square,Mars,Sagittarius,"0°05'03.03""",Mula,Ketu,1,Saturn,Pisces,"1°01'09.96""",Purva Bhadrapada,Jupiter,4,90,90.9353,0.9353
2025-12-08 00:45:00,Aspect,Square,Mars,Sagittarius,"0°05'31.05""",Mula,Ketu,1,Saturn,Pisces,"1°01'10.60""",Purva Bhadrapada,Jupiter,4,90,90.9277,0.9277
2025-12-08 01:00:00,Aspect,Square,Mars,Sagittarius,"0°05'59.08""",Mula,Ketu,1,Saturn,Pisces,"1°01'11.25""",Purva Bhadrapada,Jupiter,4,90,90.92,0.92
2025-12-08 01:15:00,Aspect,Square,Mars,Sagittarius,"0°06'27.11""",Mula,Ketu,1,Saturn,Pisces,"1°01'11.89""",Purva Bhadrapada,Jupiter,4,90,90.9124,0.9124
2025-12-08 01:30:00,Aspect,Square,Mars,Sagittarius,"0°06'55.14""",Mula,Ketu,1,Saturn,Pisces,"1°01'12.53""",Purva Bhadrapada,Jupiter,4,90,90.9048,0.9048
2025-12-08 01:45:00,Aspect,Square,Mars,Sagittarius,"0°07'23.17""",Mula,Ketu,1,Saturn,Pisces,"1°01'13.18""",Purva Bhadrapada,Jupiter,4,90,90.8972,0.8972
2025-12-08 02:00:00,Aspect,Square,Mars,Sagittarius,"0°07'51.20""",Mula,Ketu,1,Saturn,Pisces,"1°01'13.82""",Purva Bhadrapada,Jupiter,4,90,90.8896,0.8896
2025-12-08 02:15:00,Aspect,Square,Mars,Sagittarius,"0°08'19.23""",Mula,Ketu,1,Saturn,Pisces,"1°01'14.47""",Purva Bhadrapada,Jupiter,4,90,90.882,0.882
2025-12-08 02:30:00,Aspect,Square,Mars,Sagittarius,"0°08'47.26""",Mula,Ketu,1,Saturn,Pisces,"1°01'15.12""",Purva Bhadrapada,Jupiter,4,90,90.8744,0.8744
2025-12-08 02:45:00,Aspect,Square,Mars,Sagittarius,"0°09'15.29""",Mula,Ketu,1,Saturn,Pisces,"1°01'15.76""",Purva Bhadrapada,Jupiter,4,90,90.8668,0.8668
2025-12-08 03:00:00,Aspect,Square,Mars,Sagittarius,"0°09'43.32""",Mula,Ketu,1,Saturn,Pisces,"1°01'16.41""",Purva Bhadrapada,Jupiter,4,90,90.8592,0.8592
2025-12-08 03:15:00,Aspect,Square,Mars,Sagittarius,"0°10'11.35""",Mula,Ketu,1,Saturn,Pisces,"1°01'17.06""",Purva Bhadrapada,Jupiter,4,90,90.8516,0.8516
2025-12-08 03:30:00,Aspect,Square,Mars,Sagittarius,"0°10'39.38""",Mula,Ketu,1,Saturn,Pisces,"1°01'17.71""",Purva Bhadrapada,Jupiter,4,90,90.844,0.844
2025-12-08 03:45:00,Aspect,Square,Mars,Sagittarius,"0°11'07.41""",Mula,Ketu,1,Saturn,Pisces,"1°01'18.36""",Purva Bhadrapada,Jupiter,4,90,90.8364,0.8364
2025-12-08 04:00:00,Aspect,Square,Mars,Sagittarius,"0°11'35.45""",Mula,Ketu,1,Saturn,Pisces,"1°01'19.01""",Purva Bhadrapada,Jupiter,4,90,90.8288,0.8288
2025-12-08 04:15:00,Aspect,Square,Mars,Sagittarius,"0°12'03.48""",Mula,Ketu,1,Saturn,Pisces,"1°01'19.66""",Purva Bhadrapada,Jupiter,4,90,90.8212,0.8212
2025-12-08 04:30:00,Aspect,Square,Mars,Sagittarius,"0°12'31.51""",Mula,Ketu,1,Saturn,Pisces,"1°01'20.31""",Purva Bhadrapada,Jupiter,4,90,90.8136,0.8136
2025-12-08 04:45:00,Aspect,Square,Mars,Sagittarius,"0°12'59.55""",Mula,Ketu,1,Saturn,Pisces,"1°01'20.97""",Purva Bhadrapada,Jupiter,4,90,90.806,0.806
2025-12-08 05:00:00,Aspect,Square,Mars,Sagittarius,"0°13'27.58""",Mula,Ketu,1,Saturn,Pisces,"1°01'21.62""",Purva Bhadrapada,Jupiter,4,90,90.7983,0.7983
2025-12-08 05:15:00,Aspect,Square,Mars,Sagittarius,"0°13'55.61""",Mula,Ketu,1,Saturn,Pisces,"1°01'22.28""",Purva Bhadrapada,Jupiter,4,90,90.7907,0.7907
2025-12-08 05:30:00,Aspect,Square,Mars,Sagittarius,"0°14'23.65""",Mula,Ketu,1,Saturn,Pisces,"1°01'22.93""",Purva Bhadrapada,Jupiter,4,90,90.7831,0.7831
2025-12-08 05:45:00,Aspect,Square,Mars,Sagittarius,"0°14'51.68""",Mula,Ketu,1,Saturn,Pisces,"1°01'23.59""",Purva Bhadrapada,Jupiter,4,90,90.7755,0.7755
2025-12-08 06:00:00,Aspect,Square,Mars,Sagittarius,"0°15'19.72""",Mula,Ketu,1,Saturn,Pisces,"1°01'24.24""",Purva Bhadrapada,Jupiter,4,90,90.7679,0.7679
2025-12-08 06:15:00,Aspect,Square,Mars,Sagittarius,"0°15'47.75""",Mula,Ketu,1,Saturn,Pisces,"1°01'24.90""",Purva Bhadrapada,Jupiter,4,90,90.7603,0.7603
2025-12-08 06:30:00,Aspect,Square,Mars,Sagittarius,"0°16'15.79""",Mula,Ketu,1,Saturn,Pisces,"1°01'25.56""",Purva Bhadrapada,Jupiter,4,90,90.7527,0.7527
2025-12-08 06:45:00,Aspect,Square,Mars,Sagittarius,"0°16'43.82""",Mula,Ketu,1,Saturn,Pisces,"1°01'26.22""",Purva Bhadrapada,Jupiter,4,90,90.7451,0.7451
2025-12-08 07:00:00,Aspect,Square,Mars,Sagittarius,"0°17'11.86""",Mula,Ketu,1,Saturn,Pisces,"1°01'26.88""",Purva Bhadrapada,Jupiter,4,90,90.7375,0.7375
2025-12-08 07:15:00,Aspect,Square,Mars,Sagittarius,"0°17'39.90""",Mula,Ketu,1,Saturn,Pisces,"1°01'27.54""",Purva Bhadrapada,Jupiter,4,90,90.7299,0.7299
2025-12-08 07:30:00,Aspect,Square,Mars,Sagittarius,"0°18'07.93""",Mula,Ketu,1,Saturn,Pisces,"1°01'28.20""",Purva Bhadrapada,Jupiter,4,90,90.7223,0.7223
2025-12-08 07:45:00,Aspect,Square,Mars,Sagittarius,"0°18'35.97""",Mula,Ketu,1,Saturn,Pisces,"1°01'28.86""",Purva Bhadrapada,Jupiter,4,90,90.7147,0.7147
2025-12-08 08:00:00,Aspect,Square,Mars,Sagittarius,"0°19'04.01""",Mula,Ketu,1,Saturn,Pisces,"1°01'29.52""",Purva Bhadrapada,Jupiter,4,90,90.7071,0.7071
2025-12-08 08:15:00,Aspect,Square,Mars,Sagittarius,"0°19'32.05""",Mula,Ketu,1,Saturn,Pisces,"1°01'30.18""",Purva Bhadrapada,Jupiter,4,90,90.6995,0.6995
2025-12-08 08:30:00,Aspect,Square,Mars,Sagittarius,"0°20'00.09""",Mula,Ketu,1,Saturn,Pisces,"1°01'30.85""",Purva Bhadrapada,Jupiter,4,90,90.6919,0.6919
2025-12-08 08:45:00,Aspect,Square,Mars,Sagittarius,"0°20'28.12""",Mula,Ketu,1,Saturn,Pisces,"1°01'31.51""",Purva Bhadrapada,Jupiter,4,90,90.6843,0.6843
2025-12-08 09:00:00,Aspect,Square,Mars,Sagittarius,"0°20'56.16""",Mula,Ketu,1,Saturn,Pisces,"1°01'32.17""",Purva Bhadrapada,Jupiter,4,90,90.6767,0.6767
2025-12-08 09:15:00,Aspect,Square,Mars,Sagittarius,"0°21'24.20""",Mula,Ketu,1,Saturn,Pisces,"1°01'32.84""",Purva Bhadrapada,Jupiter,4,90,90.6691,0.6691
2025-12-08 09:30:00,Aspect,Square,Mars,Sagittarius,"0°21'52.24""",Mula,Ketu,1,Saturn,Pisces,"1°01'33.51""",Purva Bhadrapada,Jupiter,4,90,90.6615,0.6615
2025-12-08 09:45:00,Aspect,Square,Mars,Sagittarius,"0°22'20.28""",Mula,Ketu,1,Saturn,Pisces,"1°01'34.17""",Purva Bhadrapada,Jupiter,4,90,90.6539,0.6539
2025-12-08 10:00:00,Aspect,Square,Mars,Sagittarius,"0°22'48.32""",Mula,Ketu,1,Saturn,Pisces,"1°01'34.84""",Purva Bhadrapada,Jupiter,4,90,90.6463,0.6463
2025-12-08 10:15:00,Aspect,Square,Mars,Sagittarius,"0°23'16.36""",Mula,Ketu,1,Saturn,Pisces,"1°01'35.51""",Purva Bhadrapada,Jupiter,4,90,90.6387,0.6387
2025-12-08 10:30:00,Aspect,Square,Mars,Sagittarius,"0°23'44.41""",Mula,Ketu,1,Saturn,Pisces,"1°01'36.18""",Purva Bhadrapada,Jupiter,4,90,90.631,0.631
2025-12-08 10:45:00,Aspect,Square,Mars,Sagittarius,"0°24'12.45""",Mula,Ketu,1,Saturn,Pisces,"1°01'36.85""",Purva Bhadrapada,Jupiter,4,90,90.6234,0.6234
2025-12-08 11:00:00,Aspect,Square,Mars,Sagittarius,"0°24'40.49""",Mula,Ketu,1,Saturn,Pisces,"1°01'37.52""",Purva Bhadrapada,Jupiter,4,90,90.6158,0.6158
2025-12-08 11:15:00,Aspect,Square,Mars,Sagittarius,"0°25'08.53""",Mula,Ketu,1,Saturn,Pisces,"1°01'38.19""",Purva Bhadrapada,Jupiter,4,90,90.6082,0.6082
2025-12-08 11:30:00,Aspect,Square,Mars,Sagittarius,"0°25'36.57""",Mula,Ketu,1,Saturn,Pisces,"1°01'38.86""",Purva Bhadrapada,Jupiter,4,90,90.6006,0.6006
2025-12-08 11:45:00,Aspect,Square,Mars,Sagittarius,"0°26'04.62""",Mula,Ketu,1,Saturn,Pisces,"1°01'39.53""",Purva Bhadrapada,Jupiter,4,90,90.593,0.593
2025-12-08 12:00:00,Aspect,Square,Mars,Sagittarius,"0°26'32.66""",Mula,Ketu,1,Saturn,Pisces,"1°01'40.21""",Purva Bhadrapada,Jupiter,4,90,90.5854,0.5854
2025-12-08 12:15:00,Aspect,Square,Mars,Sagittarius,"0°27'00.70""",Mula,Ketu,1,Saturn,Pisces,"1°01'40.88""",Purva Bhadrapada,Jupiter,4,90,90.5778,0.5778
2025-12-08 12:30:00,Aspect,Square,Mars,Sagittarius,"0°27'28.75""",Mula,Ketu,1,Saturn,Pisces,"1°01'41.55""",Purva Bhadrapada,Jupiter,4,90,90.5702,0.5702
2025-12-08 12:45:00,Aspect,Square,Mars,Sagittarius,"0°27'56.79""",Mula,Ketu,1,Saturn,Pisces,"1°01'42.23""",Purva Bhadrapada,Jupiter,4,90,90.5626,0.5626
2025-12-08 13:00:00,Aspect,Square,Mars,Sagittarius,"0°28'24.84""",Mula,Ketu,1,Saturn,Pisces,"1°01'42.91""",Purva Bhadrapada,Jupiter,4,90,90.555,0.555
2025-12-08 13:15:00,Aspect,Square,Mars,Sagittarius,"0°28'52.88""",Mula,Ketu,1,Saturn,Pisces,"1°01'43.58""",Purva Bhadrapada,Jupiter,4,90,90.5474,0.5474
