datetime,event,type,planet1,planet1_sign,planet1_degree,planet1_nakshatra,planet1_nakshatra_lord,planet1_pada,planet2,planet2_sign,planet2_degree,planet2_nakshatra,planet2_nakshatra_lord,planet2_pada,exact_angle,difference,orb
2025-12-08 00:00:00,Aspect,Trine,Mercury,Scorpio,"1°01'14.16""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'08.68""",Purva Bhadrapada,Jupiter,4,120,119.9985,0.0015
2025-12-08 00:00:00,Aspect,Square,Mars,Sagittarius,"0°04'06.97""",Mula,Ketu,1,Saturn,Pisces,"1°01'08.68""",Purva Bhadrapada,Jupiter,4,90,90.9505,0.9505
2025-12-08 00:15:00,Aspect,Trine,Mercury,Scorpio,"1°01'51.42""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'09.32""",Purva Bhadrapada,Jupiter,4,120,119.9883,0.0117
2025-12-08 00:15:00,Aspect,Square,Mars,Sagittarius,"0°04'35.00""",Mula,Ketu,1,Saturn,Pisces,"1°01'09.32""",Purva Bhadrapada,Jupiter,4,90,90.9429,0.9429
2025-12-08 00:30:00,Aspect,Trine,Mercury,Scorpio,"1°02'28.71""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'09.96""",Purva Bhadrapada,Jupiter,4,120,119.9781,0.0219
2025-12-08 00:30:00,Aspect,Square,Mars,Sagittarius,"0°05'03.03""",Mula,Ketu,1,Saturn,Pisces,"1°01'09.96""",Purva Bhadrapada,Jupiter,4,90,90.9353,0.9353
2025-12-08 00:45:00,Aspect,Trine,Mercury,Scorpio,"1°03'06.03""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'10.60""",Purva Bhadrapada,Jupiter,4,120,119.9679,0.0321
2025-12-08 00:45:00,Aspect,Square,Mars,Sagittarius,"0°05'31.05""",Mula,Ketu,1,Saturn,Pisces,"1°01'10.60""",Purva Bhadrapada,Jupiter,4,90,90.9277,0.9277
2025-12-08 01:00:00,Aspect,Trine,Mercury,Scorpio,"1°03'43.38""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'11.25""",Purva Bhadrapada,Jupiter,4,120,119.9577,0.0423
2025-12-08 01:00:00,Aspect,Square,Mars,Sagittarius,"0°05'59.08""",Mula,Ketu,1,Saturn,Pisces,"1°01'11.25""",Purva Bhadrapada,Jupiter,4,90,90.92,0.92
2025-12-08 01:15:00,Aspect,Trine,Mercury,Scorpio,"1°04'20.75""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'11.89""",Purva Bhadrapada,Jupiter,4,120,119.9475,0.0525
2025-12-08 01:15:00,Aspect,Square,Mars,Sagittarius,"0°06'27.11""",Mula,Ketu,1,Saturn,Pisces,"1°01'11.89""",Purva Bhadrapada,Jupiter,4,90,90.9124,0.9124
2025-12-08 01:30:00,Aspect,Trine,Mercury,Scorpio,"1°04'58.16""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'12.53""",Purva Bhadrapada,Jupiter,4,120,119.9373,0.0627
2025-12-08 01:30:00,Aspect,Square,Mars,Sagittarius,"0°06'55.14""",Mula,Ketu,1,Saturn,Pisces,"1°01'12.53""",Purva Bhadrapada,Jupiter,4,90,90.9048,0.9048
2025-12-08 01:45:00,Aspect,Trine,Mercury,Scorpio,"1°05'35.59""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'13.18""",Purva Bhadrapada,Jupiter,4,120,119.9271,0.0729
2025-12-08 01:45:00,Aspect,Square,Mars,Sagittarius,"0°07'23.17""",Mula,Ketu,1,Saturn,Pisces,"1°01'13.18""",Purva Bhadrapada,Jupiter,4,90,90.8972,0.8972
2025-12-08 02:00:00,Aspect,Trine,Mercury,Scorpio,"1°06'13.05""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'13.82""",Purva Bhadrapada,Jupiter,4,120,119.9169,0.0831
2025-12-08 02:00:00,Aspect,Square,Mars,Sagittarius,"0°07'51.20""",Mula,Ketu,1,Saturn,Pisces,"1°01'13.82""",Purva Bhadrapada,Jupiter,4,90,90.8896,0.8896
2025-12-08 02:15:00,Aspect,Trine,Mercury,Scorpio,"1°06'50.54""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'14.47""",Purva Bhadrapada,Jupiter,4,120,119.9066,0.0934
2025-12-08 02:15:00,Aspect,Square,Mars,Sagittarius,"0°08'19.23""",Mula,Ketu,1,Saturn,Pisces,"1°01'14.47""",Purva Bhadrapada,Jupiter,4,90,90.882,0.882
2025-12-08 02:30:00,Aspect,Trine,Mercury,Scorpio,"1°07'28.06""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'15.12""",Purva Bhadrapada,Jupiter,4,120,119.8964,0.1036
2025-12-08 02:30:00,Aspect,Square,Mars,Sagittarius,"0°08'47.26""",Mula,Ketu,1,Saturn,Pisces,"1°01'15.12""",Purva Bhadrapada,Jupiter,4,90,90.8744,0.8744
2025-12-08 02:45:00,Aspect,Trine,Mercury,Scorpio,"1°08'05.61""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'15.76""",Purva Bhadrapada,Jupiter,4,120,119.8862,0.1138
2025-12-08 02:45:00,Aspect,Square,Mars,Sagittarius,"0°09'15.29""",Mula,Ketu,1,Saturn,Pisces,"1°01'15.76""",Purva Bhadrapada,Jupiter,4,90,90.8668,0.8668
2025-12-08 03:00:00,Aspect,Trine,Mercury,Scorpio,"1°08'43.18""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'16.41""",Purva Bhadrapada,Jupiter,4,120,119.8759,0.1241
2025-12-08 03:00:00,Aspect,Square,Mars,Sagittarius,"0°09'43.32""",Mula,Ketu,1,Saturn,Pisces,"1°01'16.41""",Purva Bhadrapada,Jupiter,4,90,90.8592,0.8592
2025-12-08 03:15:00,Aspect,Trine,Mercury,Scorpio,"1°09'20.79""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'17.06""",Purva Bhadrapada,Jupiter,4,120,119.8656,0.1344
2025-12-08 03:15:00,Aspect,Square,Mars,Sagittarius,"0°10'11.35""",Mula,Ketu,1,Saturn,Pisces,"1°01'17.06""",Purva Bhadrapada,Jupiter,4,90,90.8516,0.8516
2025-12-08 03:30:00,Aspect,Trine,Mercury,Scorpio,"1°09'58.42""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'17.71""",Purva Bhadrapada,Jupiter,4,120,119.8554,0.1446
2025-12-08 03:30:00,Aspect,Square,Mars,Sagittarius,"0°10'39.38""",Mula,Ketu,1,Saturn,Pisces,"1°01'17.71""",Purva Bhadrapada,Jupiter,4,90,90.844,0.844
2025-12-08 03:45:00,Aspect,Trine,Mercury,Scorpio,"1°10'36.08""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'18.36""",Purva Bhadrapada,Jupiter,4,120,119.8451,0.1549
2025-12-08 03:45:00,Aspect,Square,Mars,Sagittarius,"0°11'07.41""",Mula,Ketu,1,Saturn,Pisces,"1°01'18.36""",Purva Bhadrapada,Jupiter,4,90,90.8364,0.8364
2025-12-08 04:00:00,Aspect,Trine,Mercury,Scorpio,"1°11'13.77""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'19.01""",Purva Bhadrapada,Jupiter,4,120,119.8348,0.1652
2025-12-08 04:00:00,Aspect,Square,Mars,Sagittarius,"0°11'35.45""",Mula,Ketu,1,Saturn,Pisces,"1°01'19.01""",Purva Bhadrapada,Jupiter,4,90,90.8288,0.8288
2025-12-08 04:15:00,Aspect,Trine,Mercury,Scorpio,"1°11'51.49""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'19.66""",Purva Bhadrapada,Jupiter,4,120,119.8245,0.1755
2025-12-08 04:15:00,Aspect,Square,Mars,Sagittarius,"0°12'03.48""",Mula,Ketu,1,Saturn,Pisces,"1°01'19.66""",Purva Bhadrapada,Jupiter,4,90,90.8212,0.8212
2025-12-08 04:30:00,Aspect,Trine,Mercury,Scorpio,"1°12'29.24""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'20.31""",Purva Bhadrapada,Jupiter,4,120,119.8142,0.1858
2025-12-08 04:30:00,Aspect,Square,Mars,Sagittarius,"0°12'31.51""",Mula,Ketu,1,Saturn,Pisces,"1°01'20.31""",Purva Bhadrapada,Jupiter,4,90,90.8136,0.8136
2025-12-08 04:45:00,Aspect,Trine,Mercury,Scorpio,"1°13'07.01""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'20.97""",Purva Bhadrapada,Jupiter,4,120,119.8039,0.1961
2025-12-08 04:45:00,Aspect,Square,Mars,Sagittarius,"0°12'59.55""",Mula,Ketu,1,Saturn,Pisces,"1°01'20.97""",Purva Bhadrapada,Jupiter,4,90,90.806,0.806
2025-12-08 05:00:00,Aspect,Trine,Mercury,Scorpio,"1°13'44.81""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'21.62""",Purva Bhadrapada,Jupiter,4,120,119.7936,0.2064
2025-12-08 05:00:00,Aspect,Square,Mars,Sagittarius,"0°13'27.58""",Mula,Ketu,1,Saturn,Pisces,"1°01'21.62""",Purva Bhadrapada,Jupiter,4,90,90.7983,0.7983
2025-12-08 05:15:00,Aspect,Trine,Mercury,Scorpio,"1°14'22.64""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'22.28""",Purva Bhadrapada,Jupiter,4,120,119.7832,0.2168
2025-12-08 05:15:00,Aspect,Square,Mars,Sagittarius,"0°13'55.61""",Mula,Ketu,1,Saturn,Pisces,"1°01'22.28""",Purva Bhadrapada,Jupiter,4,90,90.7907,0.7907
2025-12-08 05:30:00,Aspect,Trine,Mercury,Scorpio,"1°15'00.50""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'22.93""",Purva Bhadrapada,Jupiter,4,120,119.7729,0.2271
2025-12-08 05:30:00,Aspect,Square,Mars,Sagittarius,"0°14'23.65""",Mula,Ketu,1,Saturn,Pisces,"1°01'22.93""",Purva Bhadrapada,Jupiter,4,90,90.7831,0.7831
2025-12-08 05:45:00,Aspect,Trine,Mercury,Scorpio,"1°15'38.39""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'23.59""",Purva Bhadrapada,Jupiter,4,120,119.7626,0.2374
2025-12-08 05:45:00,Aspect,Square,Mars,Sagittarius,"0°14'51.68""",Mula,Ketu,1,Saturn,Pisces,"1°01'23.59""",Purva Bhadrapada,Jupiter,4,90,90.7755,0.7755
2025-12-08 06:00:00,Aspect,Trine,Mercury,Scorpio,"1°16'16.30""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'24.24""",Purva Bhadrapada,Jupiter,4,120,119.7522,0.2478
2025-12-08 06:00:00,Aspect,Square,Mars,Sagittarius,"0°15'19.72""",Mula,Ketu,1,Saturn,Pisces,"1°01'24.24""",Purva Bhadrapada,Jupiter,4,90,90.7679,0.7679
2025-12-08 06:15:00,Aspect,Trine,Mercury,Scorpio,"1°16'54.25""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'24.90""",Purva Bhadrapada,Jupiter,4,120,119.7418,0.2582
2025-12-08 06:15:00,Aspect,Square,Mars,Sagittarius,"0°15'47.75""",Mula,Ketu,1,Saturn,Pisces,"1°01'24.90""",Purva Bhadrapada,Jupiter,4,90,90.7603,0.7603
2025-12-08 06:30:00,Aspect,Trine,Mercury,Scorpio,"1°17'32.22""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'25.56""",Purva Bhadrapada,Jupiter,4,120,119.7315,0.2685
2025-12-08 06:30:00,Aspect,Square,Mars,Sagittarius,"0°16'15.79""",Mula,Ketu,1,Saturn,Pisces,"1°01'25.56""",Purva Bhadrapada,Jupiter,4,90,90.7527,0.7527
2025-12-08 06:45:00,Aspect,Trine,Mercury,Scorpio,"1°18'10.22""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'26.22""",Purva Bhadrapada,Jupiter,4,120,119.7211,0.2789
2025-12-08 06:45:00,Aspect,Square,Mars,Sagittarius,"0°16'43.82""",Mula,Ketu,1,Saturn,Pisces,"1°01'26.22""",Purva Bhadrapada,Jupiter,4,90,90.7451,0.7451
2025-12-08 07:00:00,Aspect,Trine,Mercury,Scorpio,"1°18'48.24""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'26.88""",Purva Bhadrapada,Jupiter,4,120,119.7107,0.2893
2025-12-08 07:00:00,Aspect,Square,Mars,Sagittarius,"0°17'11.86""",Mula,Ketu,1,Saturn,Pisces,"1°01'26.88""",Purva Bhadrapada,Jupiter,4,90,90.7375,0.7375
2025-12-08 07:15:00,Aspect,Trine,Mercury,Scorpio,"1°19'26.30""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'27.54""",Purva Bhadrapada,Jupiter,4,120,119.7003,0.2997
2025-12-08 07:15:00,Aspect,Square,Mars,Sagittarius,"0°17'39.90""",Mula,Ketu,1,Saturn,Pisces,"1°01'27.54""",Purva Bhadrapada,Jupiter,4,90,90.7299,0.7299
2025-12-08 07:30:00,Aspect,Trine,Mercury,Scorpio,"1°20'04.38""",Vishakha,Jupiter,4,Saturn,Pisces,"1°01'28.20""",Purva Bhadrapada,Jupiter,4,120,119.6899,0.3101
