datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-02 19:00:00,Aspect,Sextitle,Venus,Sagittarius,"16°52'19.00""",Rahu,Aquarius,"17°52'09.91""",60,60.9975,0.9975
2026-01-02 19:00:00,Aspect,Trine,Venus,Sagittarius,"16°52'19.00""",Ketu,Leo,"17°52'09.91""",120,119.0025,0.9975
2026-01-02 19:15:00,Aspect,Sextitle,Venus,Sagittarius,"16°53'06.18""",Rahu,Aquarius,"17°52'07.92""",60,60.9838,0.9838
2026-01-02 19:15:00,Aspect,Trine,Venus,Sagittarius,"16°53'06.18""",Ketu,Leo,"17°52'07.92""",120,119.0162,0.9838
2026-01-02 19:30:00,Aspect,Conjunction,Sun,Sagittarius,"17°53'46.13""",Venus,Sagittarius,"16°53'53.36""",0,0.998,0.998
2026-01-02 19:30:00,Aspect,Sextitle,Venus,Sagittarius,"16°53'53.36""",Rahu,Aquarius,"17°52'05.93""",60,60.9702,0.9702
2026-01-02 19:30:00,Aspect,Trine,Venus,Sagittarius,"16°53'53.36""",Ketu,Leo,"17°52'05.93""",120,119.0298,0.9702
2026-01-02 19:45:00,Aspect,Conjunction,Sun,Sagittarius,"17°54'24.33""",Venus,Sagittarius,"16°54'40.54""",0,0.9955,0.9955
2026-01-02 19:45:00,Aspect,Sextitle,Venus,Sagittarius,"16°54'40.54""",Rahu,Aquarius,"17°52'03.95""",60,60.9565,0.9565
2026-01-02 19:45:00,Aspect,Trine,Venus,Sagittarius,"16°54'40.54""",Ketu,Leo,"17°52'03.95""",120,119.0435,0.9565
2026-01-02 20:00:00,Aspect,Conjunction,Sun,Sagittarius,"17°55'02.54""",Venus,Sagittarius,"16°55'27.72""",0,0.993,0.993
2026-01-02 20:00:00,Aspect,Sextitle,Venus,Sagittarius,"16°55'27.72""",Rahu,Aquarius,"17°52'01.96""",60,60.9428,0.9428
2026-01-02 20:00:00,Aspect,Trine,Venus,Sagittarius,"16°55'27.72""",Ketu,Leo,"17°52'01.96""",120,119.0572,0.9428
2026-01-02 20:15:00,Aspect,Conjunction,Sun,Sagittarius,"17°55'40.74""",Venus,Sagittarius,"16°56'14.90""",0,0.9905,0.9905
2026-01-02 20:15:00,Aspect,Sextitle,Venus,Sagittarius,"16°56'14.90""",Rahu,Aquarius,"17°51'59.97""",60,60.9292,0.9292
2026-01-02 20:15:00,Aspect,Trine,Venus,Sagittarius,"16°56'14.90""",Ketu,Leo,"17°51'59.97""",120,119.0708,0.9292
2026-01-02 20:30:00,Aspect,Conjunction,Sun,Sagittarius,"17°56'18.94""",Venus,Sagittarius,"16°57'02.08""",0,0.988,0.988
2026-01-02 20:30:00,Aspect,Sextitle,Venus,Sagittarius,"16°57'02.08""",Rahu,Aquarius,"17°51'57.98""",60,60.9155,0.9155
2026-01-02 20:30:00,Aspect,Trine,Venus,Sagittarius,"16°57'02.08""",Ketu,Leo,"17°51'57.98""",120,119.0845,0.9155
2026-01-02 20:45:00,Aspect,Conjunction,Sun,Sagittarius,"17°56'57.15""",Venus,Sagittarius,"16°57'49.26""",0,0.9855,0.9855
2026-01-02 20:45:00,Aspect,Sextitle,Venus,Sagittarius,"16°57'49.26""",Rahu,Aquarius,"17°51'56.00""",60,60.9019,0.9019
2026-01-02 20:45:00,Aspect,Trine,Venus,Sagittarius,"16°57'49.26""",Ketu,Leo,"17°51'56.00""",120,119.0981,0.9019
2026-01-02 21:00:00,Aspect,Conjunction,Sun,Sagittarius,"17°57'35.35""",Venus,Sagittarius,"16°58'36.44""",0,0.983,0.983
2026-01-02 21:00:00,Aspect,Sextitle,Venus,Sagittarius,"16°58'36.44""",Rahu,Aquarius,"17°51'54.01""",60,60.8882,0.8882
2026-01-02 21:00:00,Aspect,Trine,Venus,Sagittarius,"16°58'36.44""",Ketu,Leo,"17°51'54.01""",120,119.1118,0.8882
2026-01-02 21:15:00,Aspect,Conjunction,Sun,Sagittarius,"17°58'13.55""",Venus,Sagittarius,"16°59'23.62""",0,0.9805,0.9805
2026-01-02 21:15:00,Aspect,Sextitle,Venus,Sagittarius,"16°59'23.62""",Rahu,Aquarius,"17°51'52.02""",60,60.8746,0.8746
2026-01-02 21:15:00,Aspect,Trine,Venus,Sagittarius,"16°59'23.62""",Ketu,Leo,"17°51'52.02""",120,119.1254,0.8746
2026-01-02 21:30:00,Aspect,Conjunction,Sun,Sagittarius,"17°58'51.76""",Venus,Sagittarius,"17°00'10.80""",0,0.978,0.978
2026-01-02 21:30:00,Aspect,Sextitle,Venus,Sagittarius,"17°00'10.80""",Rahu,Aquarius,"17°51'50.04""",60,60.8609,0.8609
2026-01-02 21:30:00,Aspect,Trine,Venus,Sagittarius,"17°00'10.80""",Ketu,Leo,"17°51'50.04""",120,119.1391,0.8609
2026-01-02 21:45:00,Aspect,Conjunction,Sun,Sagittarius,"17°59'29.96""",Venus,Sagittarius,"17°00'57.98""",0,0.9756,0.9756
2026-01-02 21:45:00,Aspect,Sextitle,Venus,Sagittarius,"17°00'57.98""",Rahu,Aquarius,"17°51'48.05""",60,60.8472,0.8472
2026-01-02 21:45:00,Aspect,Trine,Venus,Sagittarius,"17°00'57.98""",Ketu,Leo,"17°51'48.05""",120,119.1528,0.8472
2026-01-02 22:00:00,Aspect,Conjunction,Sun,Sagittarius,"18°00'08.16""",Venus,Sagittarius,"17°01'45.16""",0,0.9731,0.9731
2026-01-02 22:00:00,Aspect,Sextitle,Venus,Sagittarius,"17°01'45.16""",Rahu,Aquarius,"17°51'46.06""",60,60.8336,0.8336
2026-01-02 22:00:00,Aspect,Trine,Venus,Sagittarius,"17°01'45.16""",Ketu,Leo,"17°51'46.06""",120,119.1664,0.8336
2026-01-02 22:15:00,Aspect,Conjunction,Sun,Sagittarius,"18°00'46.37""",Venus,Sagittarius,"17°02'32.34""",0,0.9706,0.9706
2026-01-02 22:15:00,Aspect,Sextitle,Venus,Sagittarius,"17°02'32.34""",Rahu,Aquarius,"17°51'44.07""",60,60.8199,0.8199
2026-01-02 22:15:00,Aspect,Trine,Venus,Sagittarius,"17°02'32.34""",Ketu,Leo,"17°51'44.07""",120,119.1801,0.8199
2026-01-02 22:30:00,Aspect,Conjunction,Sun,Sagittarius,"18°01'24.57""",Venus,Sagittarius,"17°03'19.52""",0,0.9681,0.9681
2026-01-02 22:30:00,Aspect,Sextitle,Venus,Sagittarius,"17°03'19.52""",Rahu,Aquarius,"17°51'42.09""",60,60.8063,0.8063
2026-01-02 22:30:00,Aspect,Trine,Venus,Sagittarius,"17°03'19.52""",Ketu,Leo,"17°51'42.09""",120,119.1937,0.8063
2026-01-02 22:45:00,Aspect,Conjunction,Sun,Sagittarius,"18°02'02.77""",Venus,Sagittarius,"17°04'06.70""",0,0.9656,0.9656
2026-01-02 22:45:00,Aspect,Sextitle,Venus,Sagittarius,"17°04'06.70""",Rahu,Aquarius,"17°51'40.10""",60,60.7926,0.7926
2026-01-02 22:45:00,Aspect,Trine,Venus,Sagittarius,"17°04'06.70""",Ketu,Leo,"17°51'40.10""",120,119.2074,0.7926
2026-01-02 23:00:00,Aspect,Conjunction,Sun,Sagittarius,"18°02'40.98""",Venus,Sagittarius,"17°04'53.88""",0,0.9631,0.9631
2026-01-02 23:00:00,Aspect,Sextitle,Venus,Sagittarius,"17°04'53.88""",Rahu,Aquarius,"17°51'38.11""",60,60.779,0.779
2026-01-02 23:00:00,Aspect,Trine,Venus,Sagittarius,"17°04'53.88""",Ketu,Leo,"17°51'38.11""",120,119.221,0.779
2026-01-02 23:15:00,Aspect,Conjunction,Sun,Sagittarius,"18°03'19.18""",Venus,Sagittarius,"17°05'41.06""",0,0.9606,0.9606
2026-01-02 23:15:00,Aspect,Sextitle,Venus,Sagittarius,"17°05'41.06""",Rahu,Aquarius,"17°51'36.13""",60,60.7653,0.7653
2026-01-02 23:15:00,Aspect,Trine,Venus,Sagittarius,"17°05'41.06""",Ketu,Leo,"17°51'36.13""",120,119.2347,0.7653
2026-01-02 23:30:00,Aspect,Conjunction,Sun,Sagittarius,"18°03'57.38""",Venus,Sagittarius,"17°06'28.24""",0,0.9581,0.9581
2026-01-02 23:30:00,Aspect,Sextitle,Venus,Sagittarius,"17°06'28.24""",Rahu,Aquarius,"17°51'34.14""",60,60.7516,0.7516
2026-01-02 23:30:00,Aspect,Trine,Venus,Sagittarius,"17°06'28.24""",Ketu,Leo,"17°51'34.14""",120,119.2484,0.7516
2026-01-02 23:45:00,Aspect,Conjunction,Sun,Sagittarius,"18°04'35.59""",Venus,Sagittarius,"17°07'15.42""",0,0.9556,0.9556
2026-01-02 23:45:00,Aspect,Sextitle,Venus,Sagittarius,"17°07'15.42""",Rahu,Aquarius,"17°51'32.15""",60,60.738,0.738
