datetime,event,type,planet1,planet1_sign,planet1_degree,planet2,planet2_sign,planet2_degree,exact_angle,difference,orb
2026-01-01 00:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°14'34.37""",Rahu,Aquarius,"17°57'51.71""",60,59.7215,0.2785
2026-01-01 00:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°15'03.10""",Rahu,Aquarius,"17°57'49.72""",60,59.7129,0.2871
2026-01-01 00:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°15'31.83""",Rahu,Aquarius,"17°57'47.73""",60,59.7044,0.2956
2026-01-01 00:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°16'00.56""",Rahu,Aquarius,"17°57'45.74""",60,59.6959,0.3041
2026-01-01 01:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°16'29.29""",Rahu,Aquarius,"17°57'43.76""",60,59.6874,0.3126
2026-01-01 01:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°16'58.02""",Rahu,Aquarius,"17°57'41.77""",60,59.6788,0.3212
2026-01-01 01:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°17'26.74""",Rahu,Aquarius,"17°57'39.78""",60,59.6703,0.3297
2026-01-01 01:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°17'55.47""",Rahu,Aquarius,"17°57'37.80""",60,59.6618,0.3382
2026-01-01 02:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°18'24.20""",Rahu,Aquarius,"17°57'35.81""",60,59.6532,0.3468
2026-01-01 02:15:00,Aspect,Sextitle,Mars,Sagittarius,"18°18'52.93""",Rahu,Aquarius,"17°57'33.82""",60,59.6447,0.3553
2026-01-01 02:30:00,Aspect,Sextitle,Mars,Sagittarius,"18°19'21.66""",Rahu,Aquarius,"17°57'31.83""",60,59.6362,0.3638
2026-01-01 02:45:00,Aspect,Sextitle,Mars,Sagittarius,"18°19'50.40""",Rahu,Aquarius,"17°57'29.85""",60,59.6276,0.3724
2026-01-01 03:00:00,Aspect,Sextitle,Mars,Sagittarius,"18°20'19.13""",Rahu,Aquarius,"17°57'27.86""",60,59.6191,0.3809
