datetime,event,aspecting_planet,aspecting_sign,aspecting_degree,aspected_planet,aspected_sign,aspected_degree,aspect_type,aspect_house,target_angle,actual_angle,orb,strength
2026-01-03 18:00:00,Parashara_Drishti,Mars,Sagittarius,"20°21'07.52""",Moon,Gemini,"19°24'02.39""",7th House,7,180,179.0486,0.9514,Weak
2026-01-03 18:15:00,Parashara_Drishti,Sun,Sagittarius,"18°51'42.63""",Moon,Gemini,"19°33'20.07""",7th House,7,180,180.6937,0.6937,Standard
2026-01-03 18:15:00,Parashara_Drishti,Moon,Gemini,"19°33'20.07""",Sun,Sagittarius,"18°51'42.63""",7th House,7,180,179.3063,0.6937,Standard
2026-01-03 18:15:00,Parashara_Drishti,Moon,Gemini,"19°33'20.07""",Mars,Sagittarius,"20°21'36.31""",7th House,7,180,180.8045,0.8045,Standard
2026-01-03 18:15:00,Parashara_Drishti,Mars,Sagittarius,"20°21'36.31""",Moon,Gemini,"19°33'20.07""",7th House,7,180,179.1955,0.8045,Weak
2026-01-03 18:30:00,Parashara_Drishti,Sun,Sagittarius,"18°52'20.83""",Moon,Gemini,"19°42'37.65""",7th House,7,180,180.838,0.838,Standard
2026-01-03 18:30:00,Parashara_Drishti,Moon,Gemini,"19°42'37.65""",Sun,Sagittarius,"18°52'20.83""",7th House,7,180,179.162,0.838,Standard
2026-01-03 18:30:00,Parashara_Drishti,Moon,Gemini,"19°42'37.65""",Mars,Sagittarius,"20°22'05.11""",7th House,7,180,180.6576,0.6576,Standard
2026-01-03 18:30:00,Parashara_Drishti,Mars,Sagittarius,"20°22'05.11""",Moon,Gemini,"19°42'37.65""",7th House,7,180,179.3424,0.6576,Weak
2026-01-03 18:45:00,Parashara_Drishti,Sun,Sagittarius,"18°52'59.03""",Moon,Gemini,"19°51'55.14""",7th House,7,180,180.9823,0.9823,Standard
2026-01-03 18:45:00,Parashara_Drishti,Moon,Gemini,"19°51'55.14""",Sun,Sagittarius,"18°52'59.03""",7th House,7,180,179.0177,0.9823,Standard
2026-01-03 18:45:00,Parashara_Drishti,Moon,Gemini,"19°51'55.14""",Mars,Sagittarius,"20°22'33.91""",7th House,7,180,180.5108,0.5108,Standard
2026-01-03 18:45:00,Parashara_Drishti,Mars,Sagittarius,"20°22'33.91""",Moon,Gemini,"19°51'55.14""",7th House,7,180,179.4892,0.5108,Weak
2026-01-03 19:00:00,Parashara_Drishti,Moon,Gemini,"20°01'12.52""",Mars,Sagittarius,"20°23'02.70""",7th House,7,180,180.3639,0.3639,Standard
2026-01-03 19:00:00,Parashara_Drishti,Mars,Sagittarius,"20°23'02.70""",Moon,Gemini,"20°01'12.52""",7th House,7,180,179.6361,0.3639,Weak
2026-01-03 19:15:00,Parashara_Drishti,Moon,Gemini,"20°10'29.81""",Mars,Sagittarius,"20°23'31.50""",7th House,7,180,180.2171,0.2171,Standard
2026-01-03 19:15:00,Parashara_Drishti,Mars,Sagittarius,"20°23'31.50""",Moon,Gemini,"20°10'29.81""",7th House,7,180,179.7829,0.2171,Weak
2026-01-03 19:30:00,Parashara_Drishti,Moon,Gemini,"20°19'47.00""",Mars,Sagittarius,"20°24'00.30""",7th House,7,180,180.0704,0.0704,Standard
2026-01-03 19:30:00,Parashara_Drishti,Mars,Sagittarius,"20°24'00.30""",Moon,Gemini,"20°19'47.00""",7th House,7,180,179.9296,0.0704,Weak
2026-01-03 19:45:00,Parashara_Drishti,Moon,Gemini,"20°29'04.09""",Mars,Sagittarius,"20°24'29.09""",7th House,7,180,179.9236,0.0764,Standard
2026-01-03 19:45:00,Parashara_Drishti,Mars,Sagittarius,"20°24'29.09""",Moon,Gemini,"20°29'04.09""",7th House,7,180,180.0764,0.0764,Weak
2026-01-03 20:00:00,Parashara_Drishti,Moon,Gemini,"20°38'21.08""",Mars,Sagittarius,"20°24'57.89""",7th House,7,180,179.7769,0.2231,Standard
